Date,True Price,Predicted Price
2024-12-22,95104.9375,103740.28
2024-12-23,94686.2421875,103184.28
2024-12-24,98676.09375,102496.67
2024-12-25,99299.1953125,101991.86
2024-12-26,95795.515625,101635.0
2024-12-27,94164.859375,101181.07
2024-12-28,95163.9296875,100618.25
2024-12-29,93530.2265625,100084.41
2024-12-30,92643.2109375,99491.36
2024-12-31,93429.203125,98848.79
2025-01-01,94419.7578125,98258.95
2025-01-02,96886.875,97786.01
2025-01-03,98107.4296875,97553.51
2025-01-04,98236.2265625,97548.02
2025-01-05,98314.9609375,97696.16
2025-01-06,102078.0859375,97947.68
2025-01-07,96922.703125,98481.67
2025-01-08,95043.5234375,98847.55
2025-01-09,92484.0390625,99014.57
2025-01-10,94701.453125,98904.83
2025-01-11,94566.59375,98765.63
2025-01-12,94488.4375,98585.11
2025-01-13,94516.5234375,98379.51
2025-01-14,96534.046875,98168.04
2025-01-15,100504.4921875,98081.47
2025-01-16,99756.90625,98301.53
2025-01-17,104462.0390625,98641.57
2025-01-18,104408.0703125,99331.695
2025-01-19,101089.609375,100185.39
2025-01-20,102016.6640625,100913.63
2025-01-21,106146.26562499999,101605.83
2025-01-22,103653.0703125,102477.484
2025-01-23,103960.171875,103244.08
2025-01-24,104819.484375,103939.36
2025-01-25,104714.6484375,104599.78
2025-01-26,102682.5,105188.31
2025-01-27,102087.6875,105577.2
2025-01-28,101332.4765625,105792.25
2025-01-29,103703.2109375,105837.49
2025-01-30,104735.30468749999,105910.36
2025-01-31,102405.0234375,106035.67
2025-02-01,100655.90625,106039.96
2025-02-02,97688.9765625,105877.69
2025-02-03,101405.421875,105449.61
2025-02-04,97871.8203125,105109.24
2025-02-05,96615.4453125,104600.24
2025-02-06,96593.296875,103956.69
2025-02-07,96529.0859375,103263.445
2025-02-08,96482.453125,102565.94
2025-02-09,96500.09375,101896.65
2025-02-10,97437.5546875,101280.414
2025-02-11,95747.4296875,100786.18
2025-02-12,97885.859375,100291.4
2025-02-13,96623.8671875,99963.22
2025-02-14,97508.96875,99672.836
2025-02-15,97580.3515625,99487.0
2025-02-16,96175.03125,99380.016
2025-02-17,95773.3828125,99249.625
2025-02-18,95539.546875,99099.62
2025-02-19,96635.609375,98934.79
2025-02-20,98333.9375,98835.63
2025-02-21,96125.546875,98877.63
2025-02-22,96577.7578125,98868.62
2025-02-23,96273.921875,98871.61
2025-02-24,91418.171875,98862.195
2025-02-25,88736.171875,98560.08
2025-02-26,84347.0234375,97956.664
2025-02-27,84704.2265625,96941.03
2025-02-28,84373.0078125,95752.58
2025-03-01,86031.9140625,94479.88
2025-03-02,94248.3515625,93309.72
2025-03-03,86065.671875,92735.18
2025-03-04,87222.1953125,92043.33
2025-03-05,90623.5625,91441.984
2025-03-06,89961.7265625,91127.484
2025-03-07,86742.671875,90959.94
2025-03-08,86154.59375,90719.055
2025-03-09,80601.0390625,90434.38
2025-03-10,78532.0,89814.08
2025-03-11,82862.2109375,88918.89
2025-03-12,83722.359375,88151.76
2025-03-13,81066.703125,87524.01
2025-03-14,83969.1015625,86857.52
2025-03-15,84343.109375,86388.28
2025-03-16,82579.6875,86077.516
2025-03-17,84075.6875,85785.16
2025-03-18,82718.5,85622.875
2025-03-19,86854.2265625,85469.03
2025-03-20,84167.1953125,85582.52
2025-03-21,84043.2421875,85686.95
2025-03-22,83832.484375,85794.25
2025-03-23,86054.375,85889.16
2025-03-24,87498.9140625,86103.93
2025-03-25,87471.703125,86458.93
2025-03-26,86900.8828125,86880.44
2025-03-27,87177.1015625,87294.414
2025-03-28,84353.1484375,87704.67
2025-03-29,82597.5859375,87925.12
